A new study created in memory with name: HYPERPARAMETER OPTIMIZATION WITH OPTUNA: binary_7_9 - Accuracy - n_epochs, batch_size, hidden_layers, neurons_per_layer, learning_rate - {'batch_size': [8, 16, 32], 'neurons_per_layer': [16, 32, 64, 128, 256, 512], 'hidden_layers': [1, 2, 3, 4], 'n_epochs': [10, 30, 50, 80, 100], 'learning_rate': [1e-05, 0.0001, 0.001, 0.01]}
Trial 0 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 128, 'hidden_layers': 3, 'learning_rate': 0.001, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 1 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 32, 'hidden_layers': 4, 'learning_rate': 0.0001, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
Trial 2 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 128, 'hidden_layers': 1, 'learning_rate': 1e-05, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
Trial 3 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 128, 'hidden_layers': 4, 'learning_rate': 0.01, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 4 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 32, 'hidden_layers': 2, 'learning_rate': 0.0001, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 5 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 256, 'hidden_layers': 2, 'learning_rate': 1e-05, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 6 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 512, 'hidden_layers': 1, 'learning_rate': 0.0001, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 7 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 16, 'hidden_layers': 2, 'learning_rate': 0.0001, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 8 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 32, 'hidden_layers': 3, 'learning_rate': 0.01, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 9 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 64, 'hidden_layers': 4, 'learning_rate': 0.0001, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 10 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 256, 'hidden_layers': 3, 'learning_rate': 0.01, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
